image_name,time,pos_x,pos_y,pos_z,att_phi,att_theta,att_psi
'100049163.jpg',100.049163,0.078125,-1.066406,-1.003906,0.008807465540194464,-0.003436465540194465,0.4858215344598055
'100482507.jpg',100.482507,0.25,-0.949219,-0.96875,0.005017167519967227,-0.007677832480032774,0.485107
'100982494.jpg',100.982494,0.457031,-0.808594,-0.960938,0.0028570123911930327,-0.009118506195596517,0.484863
'101449184.jpg',101.449184,0.648438,-0.6875,-0.960938,0.004669134861352564,-0.009521,0.4844819325693237
'101915820.jpg',101.91582,0.808594,-0.589844,-0.953125,-0.0009226251918552123,-0.013129625191855213,0.485107
'102382486.jpg',102.382486,1.039062,-0.449219,-0.941406,-0.0014628778266653373,-0.013911755653330674,0.48486512217333466
'102849149.jpg',102.849149,1.238281,-0.328125,-0.945312,-0.006642158190934255,-0.008200478051775201,0.484863
'103315832.jpg',103.315832,1.398765233258223,-0.24316316670080831,-0.9576827166700785,0.0013633374974400582,-0.018982012492320174,0.48584
'103782482.jpg',103.782482,1.628906,-0.128906,-0.9740946526725371,0.0035078697522015036,-0.00046239074339548864,0.483643
'104215805.jpg',104.215805,1.7753158867595833,-0.030385780487802917,-0.9775761864111492,0.016113,0.06489662543553978,0.486328
'104682471.jpg',104.682471,1.796875,0.019531,-0.964844,-0.008057,0.026842370465258957,0.485352
'105149136.jpg',105.149136,1.769531,0.039062,-0.964844,-0.01048324697683946,0.015472168682107027,0.485107
'105615793.jpg',105.615793,1.726562,0.019531,-0.964844,-0.010302520172025036,0.007324,0.485107
'106049124.jpg',106.049124,1.707031,0.0,-0.96875,-0.005988248412860843,0.005371,0.485352
'106515776.jpg',106.515776,1.6875,-0.019531,-0.9658495761792699,-0.00420629356390046,0.005127,0.485352
'106949116.jpg',106.949116,1.667969,-0.046875,-0.980469,6.396553846152049e-05,0.00470296553846152,0.4850169827692308
'107415764.jpg',107.415764,1.65625,-0.066406,-0.9749372352941192,0.0003454957983192262,0.0011600966386557672,0.48374449579831924
'107882434.jpg',107.882434,1.648438,-0.089844,-0.7062369318600363,0.002686,-0.0030292076938817844,0.484619
'108349084.jpg',108.349084,1.65625,-0.089844,-0.4063403999999991,-0.00023270578597041184,-0.0009713413210446018,0.4853548235535074
'108815749.jpg',108.815749,1.648438,-0.078125,-0.20791105595409132,0.00037807747489210133,0.0006770387374460507,0.484619
'109282416.jpg',109.282416,1.648438,-0.058594,-0.040776067124412244,0.004395,-0.0018637203320358182,0.485352
'109749075.jpg',109.749075,1.648438,-0.046875,0.042969,-0.022849669260699538,-0.010967221789883609,0.4844055369649802
'110182409.jpg',110.182409,1.65625,-0.046875,0.035156,-0.021882223041474858,-0.010813925652841715,0.4841953281105991
'110649074.jpg',110.649074,1.65625,-0.046875,0.027344,-0.022159,-0.010926,0.484395
'111115735.jpg',111.115735,1.65625,-0.046875,0.027344,-0.022281,-0.011048,0.48456
'111549065.jpg',111.549065,1.65625,-0.046875,0.027344,-0.022464,-0.011143572700296745,0.48456
'112015728.jpg',112.015728,1.65625,-0.046875,0.027344,-0.022647,-0.011231,0.484532
'112515718.jpg',112.515718,1.65625,-0.046875,0.027344,-0.022769,-0.011353,0.484586
'112949055.jpg',112.949055,1.65625,-0.046875,0.027344,-0.02283,-0.011475,0.484586
'113449057.jpg',113.449057,1.65625,-0.046875,0.027344,-0.023016,-0.011536,0.484643
'61749486.jpg',61.749486,-1.007812,-1.289062,0.0,-0.008301,-0.003906,-0.166504
'62216131.jpg',62.216131,-1.007812,-1.289062,0.0,-0.008301,-0.003906,-0.166504
'62682793.jpg',62.682793,-1.007812,-1.289062,0.0,-0.008057,-0.003906,-0.166504
'63116128.jpg',63.116128,-1.007812,-1.289062,0.0,-0.007812,-0.003906,-0.166504
'63582791.jpg',63.582791,-1.007812,-1.289062,0.0,-0.007812,-0.003906,-0.166748
'64016121.jpg',64.016121,-1.007812,-1.289062,0.0,-0.007812,-0.003906,-0.166748
'64482790.jpg',64.48279,-1.007812,-1.289062,0.0,-0.005170800000000253,-0.0038786390168969237,-0.16391109462365644
'64949444.jpg',64.949444,-1.007812,-1.289062,0.0,-0.0013854988736433605,-0.0035002494368216804,-0.1663422494368217
'65416095.jpg',65.416095,-1.007812,-1.289062,0.0,-0.0036710251076040473,-0.003418,-0.166504
'65882759.jpg',65.882759,-1.007812,-1.289062,0.0,-0.00012400798689154308,-0.003906,-0.166748
'66349421.jpg',66.349421,-1.007812,-1.289062,-0.03219393001842322,-0.004302103540004312,0.0021044827092287846,-0.14262006936770785
'66849432.jpg',66.849432,-1.007812,-1.296875,-0.48298202171018184,0.0005751837173583856,-0.001709,0.09152790271376823
'67316096.jpg',67.316096,-1.027344,-1.308594,-0.8289693999999996,0.0013788520225293645,0.0040648520225293645,0.24859132196620612
'67782767.jpg',67.782767,-1.039062,-1.316406,-1.023438,0.004786574398361371,-0.0018507024065545176,0.274414
'68249423.jpg',68.249423,-1.039062,-1.328125,-0.8508560000000034,0.000732,-0.005615,0.274902
'68716091.jpg',68.716091,-1.027344,-1.328125,-0.6134078194757303,0.002937920131066854,0.000732,0.274902
'69182748.jpg',69.182748,-1.019531,-1.339844,-0.601562,0.008120243835055866,0.005431169855724923,0.2744741698557249
'69616081.jpg',69.616081,-1.007812,-1.328125,-0.7114323493753806,0.006774237968462426,0.00415,0.2746271189842312
'70082741.jpg',70.082741,-1.007812,-1.339844,-0.832031,0.004745859487180011,0.0027073718974360023,0.274658
'70582738.jpg',70.582738,-1.007812,-1.328125,-0.914062,0.006836,0.00249623471582191,0.27417
'71016067.jpg',71.016067,-1.007812,-1.328125,-0.960938,0.007568,-0.00036236436251932614,0.274658
'71482721.jpg',71.482721,-1.007812,-1.328125,-1.0,0.00891515596518066,-0.005675164772144392,0.30872727926266946
'71949399.jpg',71.949399,-0.949219,-1.289062,-1.066406,0.006793841360934477,-0.07393278376716526,0.428739105759377
'72482714.jpg',72.482714,-0.707031,-1.167969,-1.117188,0.004555767639528751,-0.018385016180234907,0.42667761618023564
'72949406.jpg',72.949406,-0.46875,-1.058594,-1.132812,0.002686,-0.016714097970895615,0.427002
'73382713.jpg',73.382713,-0.24026816608643303,-0.96875,-1.140625,0.007932706737660602,-0.014404,0.426758
'73882714.jpg',73.882714,0.019531,-0.839844,-1.171875,0.0031521407050621726,-0.015129723508915647,0.42627
'74349374.jpg',74.349374,0.23612378307581677,-0.7404382169241832,-1.199219,0.0017988303489206766,-0.018644830348920675,0.426758
'74849368.jpg',74.849368,0.488281,-0.636719,-1.226562,0.00756412698412717,-0.015373253968254341,0.42627
'75316029.jpg',75.316029,0.7148821980339838,-0.5296645623592124,-1.25,0.008008481671103683,-0.015332679705099179,0.426514
'75816027.jpg',75.816027,0.949219,-0.429688,-1.253906,0.007373244726602724,-0.014451021093589103,0.426758
'76282685.jpg',76.282685,1.1677269876088208,-0.32827021239118476,-1.261719,0.003912059293394431,-0.013912976548899302,0.42627
'76749356.jpg',76.749356,1.3762660000000113,-0.2292022252944076,-1.269531,0.00523694367639482,-0.015381,0.426758
'77249352.jpg',77.249352,1.6169809431085647,-0.136719,-1.2733344583034893,0.02132872720761287,-0.0006996680650772657,0.4631201855111021
